ISO,Rank2018,FR_Country,EN_country,ES_country,Underlying situation score 2016,Abuse score 2016,Overall Score 2016,Progression RANK,Rank 2017,Score 2017,Zone
MNG,71,Mongolie,Mongolia,Mongolia,"29,05",0,"29,05",-2,69,"28,95",Asie-Pacifique
MOZ,99,Mozambique,Mozambique,Mozambique,"31,12",0,"31,12",-6,93,"31,05",Afrique
MRT,72,Mauritanie,Mauritania,Mauritania,"27,16","36,4","29,09",-17,55,"26,49",Afrique
MUS,56,Maurice,Mauritius,Mauricio,"26,45",0,"26,45",0,56,"26,67",Afrique
MWI,64,Malawi,Malawi,Malaui,"27,43",0,"27,43",6,70,"28,97",Afrique
MYS,145,Malaisie,Malaysia,Malasia,"47,41",0,"47,41",-1,144,"46,89",Asie-Pacifique
NAM,26,Namibie,Namibia,Namibia,"20,24",0,"20,24",-2,24,"17,08",Afrique
NER,63,Niger,Niger,Niger,"27,4","13,9","27,4",-2,61,"27,21",Afrique
NGA,119,Nigeria,Nigeria,Nigeria,"36,48","41,1","37,41",3,122,"39,69",Afrique
NIC,90,Nicaragua,Nicaragua,Nicaragua,"30,41",0,"30,41",2,92,"31,01",Amériques
NLD,3,Pays-Bas,Netherlands,Países Bajos,"10,01",0,"10,01",2,5,"11,28",UE Balkans
NOR,1,Norvège,Norway,Noruega,"7,63",0,"7,63",0,1,"7,6",UE Balkans
NPL,106,Népal,Nepal,Nepal,"31,96",23,"32,05",-6,100,"33,02",Asie-Pacifique
NZL,8,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"13,62",0,"13,62",5,13,"13,98",Asie-Pacifique
OMN,127,Oman,Oman,Omàn,"40,67",34,"40,67",-1,126,"40,46",MENA
PAK,139,Pakistan,Pakistan,Pakistàn,"41,63","49,7","43,24",0,139,"43,55",Asie-Pacifique
PAN,91,Panama,Panama,Panamà,"30,56",0,"30,56",5,96,"32,12",Amériques
PER,88,Perou,Peru,Peru,"30,27","13,9","30,27",2,90,"30,98",Amériques
PHL,133,Philippines,Philippines,Filipinas,"38,43","58,9","42,53",-6,127,"41,08",Asie-Pacifique
PNG,53,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,"26,19",11,"26,19",-2,51,"25,07",Asie-Pacifique
POL,58,Pologne,Poland,Polonia,"26,59",0,"26,59",-4,54,"26,47",UE Balkans
PRK,180,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,"88,87","51,9","88,87",0,180,"84,98",Asie-Pacifique
PRT,14,Portugal,Portugal,Portugal,"14,17","6,9","14,17",4,18,"15,77",UE Balkans
PRY,107,Paraguay,Paraguay,Paraguay,"32,32",11,"32,32",3,110,"35,64",Amériques
PSE,134,Palestine,Palestine,Palestina,"40,68","48,7","42,96",1,135,"42,9",MENA
QAT,125,Qatar,Qatar,Catar,"40,16",0,"40,16",-2,123,"39,83",MENA
ROU,44,Roumanie,Romania,Rumania,"23,65",0,"23,65",2,46,"24,46",UE Balkans
RUS,148,Russie,Russian Federation,Rusia,"48,24","55,8","49,96",0,148,"49,45",EEAC
RWA,156,Rwanda,Rwanda,Ruanda,"52,9","13,9","52,9",3,159,"54,11",Afrique
SAU,169,Arabie saoudite,Saudi Arabia,Arabia Saudita,"61,89","63,1","63,13",-1,168,"66,02",MENA
SDN,174,Soudan,Sudan,Sudàn,"71,13",23,"71,13",0,174,"73,56",Afrique
SEN,50,Sénégal,Senegal,Senegal,"25,61",0,"25,61",8,58,"26,72",Afrique
SGP,151,Singapour,Singapore,Singapur,"50,95",0,"50,95",0,151,"51,1",Asie-Pacifique
SLE,79,Sierra Leone,Sierra Leone,Sierra Leona,"29,98",0,"29,98",6,85,"30,73",Afrique
SLV,66,El Salvador,El Salvador,El Salvador,"27,78",0,"27,78",-4,62,"27,24",Amériques
SOM,168,Somalie,Somalia,Somalia,"61,5","60,9","63,04",-1,167,"65,95",Afrique
SRB,76,Serbie,Serbia,Serbia,"29,58",0,"29,58",-10,66,"28,05",UE Balkans
SSD,144,Soudan du Sud,South Sudan,Sudàn del Sur,"46,88",46,"46,88",1,145,"48,16",Afrique
SUR,21,Surinam,Suriname,Surinam,"16,44",0,"16,44",-1,20,"16,07",Amériques
SVK,27,Slovaquie,Slovakia,Eslovaquia,"20,26",0,"20,26",-10,17,"15,51",UE Balkans
SVN,32,Slovénie,Slovenia,Eslovenia,"21,69",0,"21,69",5,37,"21,7",UE Balkans
SWE,2,Suede,Sweden,Suecia,"8,31",0,"8,31",0,2,"8,27",UE Balkans
SWZ,152,Swaziland,Swaziland,Suazilandia,"51,46",0,"51,46",0,152,"51,27",Afrique
SYC,85,Seychelles,Seychelles,Seychelles,"30,17",0,"30,17",2,87,"30,86",Afrique
SYR,177,Syrie,Syrian Arab Republic,Siria,77,"81,6","79,22",0,177,"81,49",MENA
TCD,123,Tchad,Chad,Chad,"38,45","28,3","38,45",-2,121,"39,66",Afrique
TGO,86,Togo,Togo,Togo,"30,23","13,9","30,23",0,86,"30,75",Afrique
THA,140,Thaïlande,Thailand,Tailandia,"43,49","47,6","44,31",2,142,"44,69",Asie-Pacifique
TJK,149,Tadjikistan,Tajikistan,Tayikistàn,"50,06",30,"50,06",0,149,"50,27",EEAC
TKM,178,Turkménistan,Turkmenistan,Turkmenistàn,"84,2","34,3","84,2",0,178,"84,19",EEAC
TLS,95,Timor-Leste,East Timor,Timor Oriental,"30,81",0,"30,81",3,98,"32,82",Asie-Pacifique
TON,51,Tonga,Tonga,Tonga,"25,68",0,"25,68",-2,49,"24,97",Asie-Pacifique
TTO,39,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"22,79",11,"22,79",-5,34,"20,62",Amériques
TUN,97,Tunisie,Tunisia,Tœnez,"30,91","16,1","30,91",0,97,"32,22",MENA
TUR,157,Turquie,Turkey,Turquía,"50,96","63,7","53,5",-2,155,"52,98",EEAC
TWN,42,Taïwan,Taiwan,Taiwàn,"23,36",0,"23,36",3,45,"24,37",Asie-Pacifique
TZA,93,Tanzanie,Tanzania,Tanzania,"30,65",0,"30,65",-10,83,"30,65",Afrique
UGA,117,Ouganda,Uganda,Uganda,"36,19","35,6","36,77",-5,112,"35,94",Afrique
UKR,101,Ukraine,Ukraine,Ucrania,"30,14","35,3","31,16",1,102,"33,19",EEAC
URY,20,Uruguay,Uruguay,Uruguay,"15,56",0,"15,56",5,25,"17,43",Amériques
USA,45,Etats Unis,United States,Estados Unidos,"20,32","37,4","23,73",-2,43,"23,88",Amériques
UZB,165,Ouzbékistan,Uzbekistan,Uzbekistàn,"58,65","68,3","60,84",4,169,"66,11",EEAC
VEN,143,Venezuela,Venezuela,Venezuela,"45,56","45,6","46,03",-6,137,"42,94",Amériques
VNM,175,Viêt Nam,Vietnam,Vietnam,"75,05",66,"75,05",0,175,"73,96",Asie-Pacifique
WSM,22,Samoa,Samoa,Samoa,"16,69",0,"16,69",-1,21,"16,41",Asie-Pacifique
XCD,35,OECS,OECS,OECS,"22,11",0,"22,11",3,38,"22,1",Amériques
XKO,78,Kosovo,Kosovo,Kosovo,"29,61","6,9","29,61",4,82,"30,45",UE Balkans
YEM,167,Yémen,Yemen,Yemen,"61,68","57,9","62,23",-1,166,"65,8",MENA
ZAF,28,Afrique du Sud,South Africa,Sudàfrica,"20,39",0,"20,39",3,31,"20,12",Afrique
ZMB,113,Zambie,Zambia,Zambia,"35,02",23,"35,36",1,114,"36,48",Afrique
ZWE,126,Zimbabwe,Zimbabwe,Zimbabue,"40,53",23,"40,53",2,128,"41,44",Afrique
